"ticker","panel","leverage_pct","gamma","statistic","paper","diagnosed_numerical_exception","exception_reason"
"NDX","unconstrained",3,"1","beta",0.26,FALSE,""
"NDX","unconstrained",3,"1","hsd_ann",9.7,FALSE,""
"NDX","unconstrained",3,"1","appraisal_ann",0.9,FALSE,""
"NDX","unconstrained",3,"3","mean_ann",12.35,FALSE,""
"NDX","unconstrained",3,"3","sd_ann",8.65,FALSE,""
"NDX","unconstrained",3,"3","sharpe_ann",1.43,FALSE,""
"NDX","unconstrained",3,"3","alpha_ann",9.46,FALSE,""
"NDX","unconstrained",3,"3","beta",0.22,FALSE,""
"NDX","unconstrained",3,"3","hsd_ann",6.91,FALSE,""
"NDX","unconstrained",3,"3","appraisal_ann",1.37,FALSE,""
"NDX","unconstrained",3,"5","mean_ann",11.4,FALSE,""
"NDX","unconstrained",3,"5","sd_ann",6.8,FALSE,""
"NDX","unconstrained",3,"5","sharpe_ann",1.68,FALSE,""
"NDX","unconstrained",3,"5","alpha_ann",9.06,FALSE,""
"NDX","unconstrained",3,"5","beta",0.17,FALSE,""
"NDX","unconstrained",3,"5","hsd_ann",5.35,FALSE,""
"NDX","unconstrained",3,"5","appraisal_ann",1.69,FALSE,""
"NDX","unconstrained",5,"1","mean_ann",22.23,FALSE,""
"NDX","unconstrained",5,"1","sd_ann",18.83,FALSE,""
"NDX","unconstrained",5,"1","sharpe_ann",1.18,FALSE,""
"NDX","unconstrained",5,"1","alpha_ann",16.32,FALSE,""
"NDX","unconstrained",5,"1","beta",0.44,FALSE,""
"NDX","unconstrained",5,"1","hsd_ann",15.55,FALSE,""
"NDX","unconstrained",5,"1","appraisal_ann",1.05,FALSE,""
"NDX","unconstrained",5,"3","mean_ann",19.6,FALSE,""
"NDX","unconstrained",5,"3","sd_ann",11.56,FALSE,""
"NDX","unconstrained",5,"3","sharpe_ann",1.7,FALSE,""
"NDX","unconstrained",5,"3","alpha_ann",15.63,FALSE,""
"NDX","unconstrained",5,"3","beta",0.3,FALSE,""
"NDX","unconstrained",5,"3","hsd_ann",9.08,FALSE,""
"NDX","unconstrained",5,"3","appraisal_ann",1.72,FALSE,""
"NDX","unconstrained",5,"5","mean_ann",17.53,FALSE,""
"NDX","unconstrained",5,"5","sd_ann",9.02,FALSE,""
"NDX","unconstrained",5,"5","sharpe_ann",1.94,FALSE,""
"NDX","unconstrained",5,"5","alpha_ann",14.5,FALSE,""
"NDX","unconstrained",5,"5","beta",0.23,FALSE,""
"NDX","unconstrained",5,"5","hsd_ann",7.19,FALSE,""
"NDX","unconstrained",5,"5","appraisal_ann",2.02,FALSE,""
"NDX","solvency",2,"1","mean_ann",6.68,FALSE,""
"NDX","solvency",2,"1","sd_ann",7.34,FALSE,""
"NDX","solvency",2,"1","sharpe_ann",0.91,FALSE,""
"NDX","solvency",2,"1","alpha_ann",4.68,FALSE,""
"NDX","solvency",2,"1","beta",0.15,FALSE,""
"NDX","solvency",2,"1","hsd_ann",6.39,FALSE,""
"NDX","solvency",2,"1","appraisal_ann",0.73,FALSE,""
"NDX","solvency",2,"3","mean_ann",7.39,FALSE,""
"NDX","solvency",2,"3","sd_ann",6.42,FALSE,""
"NDX","solvency",2,"3","sharpe_ann",1.15,FALSE,""
"NDX","solvency",2,"3","alpha_ann",5.51,FALSE,""
"NDX","solvency",2,"3","beta",0.14,FALSE,""
"NDX","solvency",2,"3","hsd_ann",5.46,FALSE,""
"NDX","solvency",2,"3","appraisal_ann",1.01,FALSE,""
