"period","asset","leverage_pct","gamma","statistic","paper","diagnosed_numerical_exception","exception_reason"
"2006-2010","SPX options",2,3,"hsd_ann",2.8,FALSE,""
"2006-2010","SPX options",2,3,"appraisal_ann",1.9,FALSE,""
"2006-2010","SPX options",2,5,"mean_ann",5.32,FALSE,""
"2006-2010","SPX options",2,5,"sd_ann",2.87,FALSE,""
"2006-2010","SPX options",2,5,"sharpe_ann",1.86,FALSE,""
"2006-2010","SPX options",2,5,"alpha_ann",5.4,FALSE,""
"2006-2010","SPX options",2,5,"beta",0.07,FALSE,""
"2006-2010","SPX options",2,5,"hsd_ann",2.49,FALSE,""
"2006-2010","SPX options",2,5,"appraisal_ann",2.17,FALSE,""
"2006-2010","SPX options",3,1,"mean_ann",8.33,FALSE,""
"2006-2010","SPX options",3,1,"sd_ann",5.83,FALSE,""
"2006-2010","SPX options",3,1,"sharpe_ann",1.43,FALSE,""
"2006-2010","SPX options",3,1,"alpha_ann",8.49,FALSE,""
"2006-2010","SPX options",3,1,"beta",0.15,FALSE,""
"2006-2010","SPX options",3,1,"hsd_ann",5.09,FALSE,""
"2006-2010","SPX options",3,1,"appraisal_ann",1.67,FALSE,""
"2006-2010","SPX options",3,3,"mean_ann",8.87,FALSE,""
"2006-2010","SPX options",3,3,"sd_ann",4.91,FALSE,""
"2006-2010","SPX options",3,3,"sharpe_ann",1.81,FALSE,""
"2006-2010","SPX options",3,3,"alpha_ann",9.01,FALSE,""
"2006-2010","SPX options",3,3,"beta",0.13,FALSE,""
"2006-2010","SPX options",3,3,"hsd_ann",4.27,FALSE,""
"2006-2010","SPX options",3,3,"appraisal_ann",2.11,FALSE,""
"2006-2010","SPX options",3,5,"mean_ann",8.08,FALSE,""
"2006-2010","SPX options",3,5,"sd_ann",4.54,FALSE,""
"2006-2010","SPX options",3,5,"sharpe_ann",1.78,FALSE,""
"2006-2010","SPX options",3,5,"alpha_ann",8.19,FALSE,""
"2006-2010","SPX options",3,5,"beta",0.11,FALSE,""
"2006-2010","SPX options",3,5,"hsd_ann",4.01,FALSE,""
"2006-2010","SPX options",3,5,"appraisal_ann",2.04,FALSE,""
"2006-2010","SPX options",5,1,"mean_ann",13.45,FALSE,""
"2006-2010","SPX options",5,1,"sd_ann",9.33,FALSE,""
"2006-2010","SPX options",5,1,"sharpe_ann",1.44,FALSE,""
"2006-2010","SPX options",5,1,"alpha_ann",13.69,FALSE,""
"2006-2010","SPX options",5,1,"beta",0.23,FALSE,""
"2006-2010","SPX options",5,1,"hsd_ann",8.25,FALSE,""
"2006-2010","SPX options",5,1,"appraisal_ann",1.66,FALSE,""
"2006-2010","SPX options",5,3,"mean_ann",12.11,FALSE,""
"2006-2010","SPX options",5,3,"sd_ann",7.63,FALSE,""
"2006-2010","SPX options",5,3,"sharpe_ann",1.59,FALSE,""
"2006-2010","SPX options",5,3,"alpha_ann",12.3,FALSE,""
"2006-2010","SPX options",5,3,"beta",0.18,FALSE,""
"2006-2010","SPX options",5,3,"hsd_ann",6.82,FALSE,""
"2006-2010","SPX options",5,3,"appraisal_ann",1.8,FALSE,""
"2006-2010","SPX options",5,5,"mean_ann",11.22,FALSE,""
"2006-2010","SPX options",5,5,"sd_ann",6.73,FALSE,""
"2006-2010","SPX options",5,5,"sharpe_ann",1.67,FALSE,""
"2006-2010","SPX options",5,5,"alpha_ann",11.38,FALSE,""
"2006-2010","SPX options",5,5,"beta",0.15,FALSE,""
"2006-2010","SPX options",5,5,"hsd_ann",6.06,FALSE,""
